"codice-isil";"codice-sbn";"denominazione";"indirizzo";"frazione";"cap";"comune";"codice istat comune";"provincia";"regione";"codice istat provincia";"latitudine";"longitudine";"telefono";"fax";"email";"url"
"IT-AG0001";"AGR27";"Biblioteca della Soprintendenza per i beni culturali e ambientali Pirro Marconi";"Contrada S. Nicola";"";"92100";"Agrigento";"084001";"Agrigento";"SICILIA";"084";"37,3361677";"13,5880717";"+39 0922595830";"";"";""
"IT-AG0005";"";"Biblioteca dell'Archivio di Stato di Agrigento";"via Mazzini 185";"";"92100";"Agrigento";"084001";"Agrigento";"SICILIA";"084";"37,3221644312329";"13,5886026454773";"+39 0922602494";"+39 0922613242";"as-ag@cultura.gov.it";"http://www.archiviodistatoagrigento.beniculturali.it/index.php?it/1/home"
"IT-AG0006";"PBED8";"Biblioteca del Seminario vescovile";"Piazza don Minzoni";"";"92100";"Agrigento";"084001";"Agrigento";"SICILIA";"084";"37,3137125";"13,5749656";"+39 3478809439";"+39 0922.490024";"bibliotecadiocesana@diocesiag.it";""
"IT-AG0007";"AGR01";"Biblioteca Comunale Franco La Rocca";"Piazzale Aldo Moro 3";"";"92100";"Agrigento";"084001";"Agrigento";"SICILIA";"084";"37,3095818";"13,586151";"+39 0922595166";"+39 0922401246";"biblioteca.larocca@comune.agrigento.it";"http://www.opacagrigento.it/biblioteche/bi_1.html"
"IT-AG0008";"";"Biblioteca comunale F. La Rocca - Sezione esterna di Giardina Gallotti";"Via Belvedere 127";"Giardina Gallotti";"92100";"Agrigento";"084001";"Agrigento";"SICILIA";"084";"37,4050904";"13,5291051";"+39 0922410117";"";"";""
"IT-AG0010";"AGR03";"Biblioteca Comunale Salvatore Cacciatore Partigiano Ciro";"piazza Umberto I snc";"";"92021";"Aragona";"084003";"Agrigento";"SICILIA";"084";"37,4085327";"13,6439393";"+39 092237170";"+39 0922690908";"biblioteca.comunale@comune.aragona.ag.it";"www.comunearagona.ag.it"
"IT-AG0011";"";"Biblioteca comunale";"Piazza G. Marconi 43";"";"92010";"Bivona";"084004";"Agrigento";"SICILIA";"084";"37,6184977";"13,4405434";"+39 0922986504";"+39 0922983123";"bivona.biblioteca@tiscali.it";"hhttps://www.comune.bivona.ag.it/bivona/zf/index.php/servizi-aggiuntivi/index/index/idtesto/35"
"IT-AG0012";"";"Biblioteca comunale ""Guglielmo Raimondo Moncada""";"Via Corsentino, 2";"";"92010";"Caltabellotta";"084007";"Agrigento";"SICILIA";"084";"37,5767686";"13,215112";"+39 0925951013";"";"comunecaltabellotta@tiscali.it";"https://new.comune.caltabellotta.ag.it/"
"IT-AG0014";"AGR04";"Biblioteca Comunale Mons. Domenico De Gregorio";"Via dei Giardini snc";"";"92022";"Cammarata";"084009";"Agrigento";"SICILIA";"084";"37,6308269";"13,6371923";"+39 0922905669";"+39 0922901704";"biblioteca1@comune.cammarata.ag.it";"www.opacagrigento.it"
"IT-AG0016";"";"Biblioteca comunale 'Prof. Michele Sciabbarrasi'";"via Michelangelo, 9";"";"92020";"Castrofilippo";"084013";"Agrigento";"SICILIA";"084";"37,3502091";"13,7501414";"+39 0922825110";"+39 0922912704";"biblioteca@comune.castrofilippo.ag.it";"www.comune.castrofilippo.ag.it"
"IT-AG0017";"";"Biblioteca comunale";"Via Collegio 68";"";"92011";"Cattolica Eraclea";"084014";"Agrigento";"SICILIA";"084";"37,438755";"13,3952266";"+39 0922840544";"";"servizisociali@comune.cattolicaeraclea.ag.it";"http://www2.comune.cattolicaeraclea.ag.it/cattolicaera/zf/index.php/uffici/index/detail/id/3"
"IT-AG0018";"AGR06";"Biblioteca comunale ""Paolo Borsellino""";"Corso Commentatore Cinquemani Arcuri, 223";"";"92012";"Cianciana";"084015";"Agrigento";"SICILIA";"084";"37,514489";"13,4331103";"+39 0922987134";"";"bibliotecacomunedicianciana@gmail.com";"https://www.comunecianciana.gov.it/"
"IT-AG0019";"AGR07";"Biblioteca comunale";"Via Gravina 11";"";"92020";"Comitini";"084016";"Agrigento";"SICILIA";"084";"37,408845";"13,644007";"+39 0922600359";"+39 0922600386";"biblioteca@comune.comitini.ag.it";"http://www.comune.comitini.ag.it/biblioteca.asp"
"IT-AG0022";"AGR08";"Biblioteca Comunale Barone Antonio Mendola";"Piazza Cavour 56";"";"92026";"Favara";"084017";"Agrigento";"SICILIA";"084";"37,3147813";"13,6604992";"+39 092234233";"+39 0922448500";"biblioteca@comune.favara.ag.it";""
"IT-AG0024";"AGR09";"Biblioteca comunale Martin Luther King";"Viale della Vittoria 17";"";"92020";"Grotte";"084018";"Agrigento";"SICILIA";"084";"37,4026107";"13,6986455";"+39 0922943109";"";"cultura@comunedigrotte.org";"http://www.grotte.info/ag/biblioteca.htm"
"IT-AG0025";"AGR31";"Biblioteca comunale";"Via Alcide De Gasperi 23";"";"92010";"Joppolo Giancaxio";"084019";"Agrigento";"SICILIA";"084";"37,3880709";"13,5559895";"+39 0922631047";"";"ufficioelettorale@comune.joppologiancaxio.ag.it";"http://www.comune.joppologiancaxio.ag.it/"
"IT-AG0027";"";"Biblioteca Comunale Piersanti Mattarella";"Corso Vittorio Emanuele 123";"";"92010";"Lucca Sicula";"084022";"Agrigento";"SICILIA";"084";"37,578927";"13,3069809";"+39 3202981132";"+39 092560585";"biblioteca.luccasicula@gmail.com";"www.comune.luccasicula.ag.it"
"IT-AG0029";"AGR11";"Istituzione Culturale Federico II";"Via C. Ognibene 4";"";"92013";"Menfi";"084023";"Agrigento";"SICILIA";"084";"37,597988";"12,969909";"+39 092570500";"+39 092570502";"istituzione@comune.menfi.ag.it";"www.istituzionefedericosecondo.it"
"IT-AG0030";"";"Biblioteca Comunale Antonio Gramsci";"viale della Vittoria, 113";"";"00113";"Montallegro";"084024";"Agrigento";"SICILIA";"084";"37,3890272";"13,3522133";"+39 0922845067";"";"bibliotecamontallegro@hotmail.it";"https://www.provincia.agrigento.it/flex/cm/pages/ServeBLOB.php/L/IT/IDPagina/3192/UT/systemPrint#95698b"
"IT-AG0031";"AGR12";"Biblioteca Comunale Feliciana";"Piazza Garibaldi 1";"";"92028";"Naro";"084026";"Agrigento";"SICILIA";"084";"37,2959201";"13,7925044";"+39 0922953020";"+39 0922957324";"bibliotecafeliciana@alice.it";"http://www.comune.naro.ag.it"
"IT-AG0033";"AGR17";"Biblioteca Comunale Giuseppe Tamburello";"Strada Comunale Portella delle Ginestre 12";"";"92010";"Realmonte";"084032";"Agrigento";"SICILIA";"084";"37,312285";"13,4653385";"+39 0922816142";"";"bibliotecarealmonte@libero.it";"http://www.comune.realmonte.ag.it/bandi-e-avvisi/turismo-e-cultura"
"IT-AG0034";"AGR19";"Biblioteca comunale Vincenzo Navarro";"Via P. Caruso 1";"";"92017";"Sambuca di Sicilia";"084034";"Agrigento";"SICILIA";"084";"37,647385";"13,111555";"+39 0925940234";"";"biblioteca@comune.sambucadisicilia.ag.it";""
"IT-AG0036";"";"Biblioteca comunale";"Via Matteotti";"";"";"San Biagio Platani";"084035";"Agrigento";"SICILIA";"084";"37,5071876";"13,5231628";"+39 0922918912";"";"ufficiosegreteria@comunesanbiagioplatani.it";"www.comunesanbiagioplatani.it"
