"codice isil";"denominazione biblioteca";"tipologia funzionale";"denominazione ente";"tipologia amministrativa"
"IT-AG0001";"Biblioteca della Soprintendenza per i beni culturali e ambientali Pirro Marconi";"Specializzata";"Regione siciliana. Soprintendenza per i beni culturali e ambientali";"Regione"
"IT-AG0005";"Biblioteca dell'Archivio di Stato di Agrigento";"Specializzata";"Ministero della Cultura. Archivio di Stato di Agrigento";"Direzione Generale Archivi"
"IT-AG0006";"Biblioteca del Seminario vescovile";"Specializzata";"Arcidiocesi di Agrigento";"Enti ecclesiastici"
"IT-AG0007";"Biblioteca Comunale Franco La Rocca";"Pubblica";"Comune di Agrigento";"Comune"
"IT-AG0008";"Biblioteca comunale F. La Rocca - Sezione esterna di Giardina Gallotti";"Pubblica";"Comune di Agrigento";"Comune"
"IT-AG0010";"Biblioteca Comunale Salvatore Cacciatore Partigiano Ciro";"Pubblica";"Comune d'Aragona";"Comune - Istituzione comunale"
"IT-AG0011";"Biblioteca comunale";"Pubblica";"Comune di Bivona";"Comune"
"IT-AG0012";"Biblioteca comunale ""Guglielmo Raimondo Moncada""";"Pubblica";"Comune di Caltabellotta";"Comune"
"IT-AG0014";"Biblioteca Comunale Mons. Domenico De Gregorio";"Pubblica";"Comune di Cammarata";"Comune"
"IT-AG0016";"Biblioteca comunale 'Prof. Michele Sciabbarrasi'";"Pubblica";"Comune di Castrofilippo";"Comune"
"IT-AG0017";"Biblioteca comunale";"Pubblica";"Comune di Cattolica Eraclea";"Comune"
"IT-AG0018";"Biblioteca comunale ""Paolo Borsellino""";"Pubblica";"Comune di Cianciana";"Comune"
"IT-AG0019";"Biblioteca comunale";"Pubblica";"Comune di Comitini";"Comune"
"IT-AG0022";"Biblioteca Comunale Barone Antonio Mendola";"Pubblica";"Comune di Favara";"Comune"
"IT-AG0024";"Biblioteca comunale Martin Luther King";"Pubblica";"Comune di Grotte";"Comune"
"IT-AG0025";"Biblioteca comunale";"Pubblica";"Comune di Joppolo Giancaxio";"Comune"
"IT-AG0027";"Biblioteca Comunale Piersanti Mattarella";"Pubblica";"Comune di Lucca Sicula";"Comune"
